Age,Gender,Birthplace,Raised,Accent,Familiarity.British,Familiarity.American,Native.Language,L21,L22,L23,L24,L25,L2.Age,Actor,Actor.time,Education,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Sum
36,male,london,london uk,london,Moderate,Limited,english,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,0,1,0,0,1,0,0,NA,1,1,NA,0,4
35,Male,"Norwich, UK","Norwich, UK,
Leeds, UK,
Kendal, UK,
Chorley, UK
Wigan, UK",Northern (north west),Extensive,Moderate,English ,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,1,0,0,0,1,0,0,1,1,1,0,1,6
24,Female,"Sydney, Australia",Australia,Australian,Moderate,Limited,Vietnamese,"Vietnamese, 5","English, 5","French, 5","German, 2","Spanish, 2",12,No,NA,Bachelor's degree,1,0,1,0,1,1,0,0,1,0,1,1,7
23,male,London,London,Estuary English,Moderate,Limited,English,German 3/4,Italian 2/3,Spanish 2,Swedish 1,Russian 1,13,No,NA,Master's degree,1,0,1,0,1,0,0,1,1,0,1,0,6
31,Male,"Pampanga, Philippines","London, UK",Londoner,Extensive,Moderate,English,"Kapampangan,3",NA,NA,NA,NA,NA,No,NA,Bachelor's degree,0,1,0,1,1,0,0,1,0,0,0,0,4
30,Male,"Berkeley, USA","Berkeley, USA","Californian, American",Limited,Moderate,English,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,1,0,0,1,1,0,1,0,1,1,1,1,8
59,female,London England,London England,London,Extensive,Limited,English,"Spanish, 3",NA,NA,NA,NA,14,No,NA,Doctoral degree,0,0,0,1,1,0,0,1,1,0,1,1,6
27,Female,"Toronto, Canada","Toronto, Canada",Canadian,Moderate,Extensive,English,"French, 2",NA,NA,NA,NA,6,No,NA,Doctoral degree,1,0,0,1,1,1,1,1,1,0,1,0,8
29,Female,UK,London,British,Moderate,Limited,English ,NA,NA,NA,NA,NA,NA,Yes,2,Bachelor's degree,1,1,1,0,1,1,0,1,0,1,1,0,8
22,Male,"Folkestone, United Kingdom","Folkestone, United Kingdom, Inverness, United Kingdom, Glasgow, United Kingdom",Southeastern,Extensive,Limited,English,"French, 3",NA,NA,NA,NA,12,No,NA,Master's degree,1,1,1,0,1,0,1,1,1,1,1,1,10
30,Male,"Grantham, United Kingdom","Lincoln, United Kingdom",Midlands ,Extensive,Moderate,English,"Spanish, 4","French, 3","Portuguese, 3","German, 2","Japanese, 1","French, 12",No,NA,Bachelor's degree,1,1,0,1,1,1,1,1,1,0,1,1,10
33,Female ,Winnipeg Canada ,Winnipeg Canada ,Canadian ,Negligible,Moderate,English ,"French, 2 ",NA,NA,NA,NA,6,No,NA,Doctoral degree,1,1,0,1,1,0,1,1,1,1,1,0,9
